"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20082009-4134-4186.1.26.15","nl.proc","speech",0.1348922,"2009-02-03","Weekers","VVD","De heer","mp",2,"commons","... en ik noem dat een lening. Wij moeten immers aflossen en wij moeten er rente voor betalen. Ik laat mij dan ook niet de kwalificaties aanleunen van de minister aan mijn adres over het alternatief van de VVD. Uiteindelijk is het lood om oud ijzer. Wat verstaan wij onder <em>potverteren</em>? Dat is in ieder geval niet een kapitaalinjectie in een"
"nl.proc.ob.d.h-tk-20122013-7-16.1.13.73","nl.proc","speech",0.10384006,"2012-10-02","Van Haersma Buma","CDA","De heer","mp",2,"commons","Dat klopt, maar deze brandde nu eenmaal, voorzitter. Het gekke is dat wij uiteindelijk moeten constateren – dat verrast mij ook – dat het wel <em>potverteren</em> is. Voor 2013 wordt het opgelost, maar dan komt er structureel een probleem van 600 miljoen euro bij voor Nederland. Dat is geen goede oplossing."
"nl.proc.ob.d.h-tk-20112012-105-34.1.6.1","nl.proc","speech",0.07520059,"2012-07-05","Wilders","PVV","De heer","mp",5,"commons","Voorzitter. De landen in het zuiden hebben er niet alleen een puinhoop van gemaakt, ze hebben niet alleen <em>gepotverteerd</em> met ons geld, ze hebben niet alleen ons belogen en bedrogen met valse begrotingscijfers, maar – alsof dat nog niet allemaal genoeg is – ze wagen het ook nog eens om ons te chanteren met maffiapraktijken. Tijdens de top van vorige"
"nl.proc.ob.d.h-tk-20092010-86-7203.1.7.29","nl.proc","speech",0.06490004,"2010-05-20","Halsema","GroenLinks","Mevrouw","mp",2,"commons"," geen geld. Als ik de zorg er even bij mag nemen. Ik hoorde u net zeggen dat u daarin 800 mln. investeert, maar volgens het CPB zit u op nul. Ik zie u nu doen alsof u geld hebt, terwijl u niets anders doet dan <em>potverteren</em>, een enorme puinhoop maken van de overheidsfinanciën en ronkende symbolische taal uitslaan over mensen die zich niet kunnen verdedigen. Dat is het enige wat u hebt. Dat is helemaal geen verantwoordelijke politiek."
"nl.proc.ob.d.h-tk-20132014-39-8.1.19.1","nl.proc","speech",0.045430027,"2013-12-19","Ulenbelt","SP","De heer","mp",3,"commons"," verdwijnen voor het behoud van werkgelegenheid. Dan ben je die pensioenpot helemaal kwijt! Misschien is dat wel de bedoeling. Het gevolg zal in ieder geval zijn dat wij teruggaan naar de tijd van voor Drees: \"oud\" en \"arm\" zullen weer synoniem zijn. Dit is <em>potverteren</em> voor gevorderden. Er zijn tegenslagen in de begroting en dan leg je je hand op"
"nl.proc.ob.d.h-tk-20082009-5416-5496.1.17.5","nl.proc","speech",0.038940024,"2009-03-26","Rutte","VVD","De heer","mp",14,"commons"," heel erg veel voor het kabinet uitgeschoven. Het is een beetje het \"na ons de zondvloed\"-kabinet dat hier zich vandaag presenteert. Het is nu <em>potverteren</em> en komende kabinetten kunnen de rommel weer opruimen, namelijk de rommel van de geëxplodeerde overheidsuitgaven. Ik wijs nog een keer op uitspraken van Trichet van de Europese Centrale Bank en van"
"nl.proc.ob.d.h-tk-20102011-41-2.1.9.1","nl.proc","speech",0.038940024,"2011-01-19","Beertema","PVV","De heer","mp",4,"commons"," seconden, dat was alweer € 2283 die wij of onze kinderen en kleinkinderen ooit moeten terugbetalen. Niet acteren op een dergelijk schuldprobleem heet <em>potverteren</em>. Geen actie ondernemen om paal en perk te stellen aan een dergelijk uitgavenpatroon is ronduit asociaal. Ik zal als babyboomer de rit wel uitzitten, maar het is volstrekt onverantwoord om"
"nl.proc.ob.d.h-tk-20102011-35-20.1.8.1","nl.proc","speech",0.038940024,"2010-12-15","Blanksma-van den Heuvel","CDA","Mevrouw","mp",13,"commons","Voorzitter. Dank aan de minister voor de beantwoording van de vragen. Ik denk dat het heel duidelijk is dat het tijd wordt voor consolideren en stimuleren, en dat het <em>potverteren</em> voorbij is. We hebben daarvoor heel duidelijke afspraken gemaakt. In die zin zien we 2011 goed tegemoet en we proberen elkaar scherp te houden hierin. Ik heb twee punten"
"nl.proc.ob.d.h-tk-20112012-32-27.1.14.5","nl.proc","speech",0.038940024,"2011-12-06","Van Veldhoven","D66","Mevrouw","mp",5,"commons"," rechtsom worden opgelost. Wij hebben nog geen zicht op een kosteneffectieve inzet bij de grondverkoop. Hoe voorkomen wij <em>potverteren</em>? Hoe maken wij zo snel mogelijk meters voor de natuur? Hoe halen wij het tempo dat de staatssecretaris belooft? Ten slotte de relatie met de natuurwet. Welke extra beheerkosten levert de verlaagde bescherming op?"
"nl.proc.ob.d.h-tk-20082009-483-512.1.6.7","nl.proc","speech",0.03245002,"2008-10-01","Tony van Dijck","PVV","De heer","mp",4,"commons"," kabinet gaat gewoon door met <em>potverteren</em>, alsof er niets aan de hand is. In 2009 stijgen de collectieve lasten naar 222 mld. Dat is maar liefst 16 mld. meer dan dit jaar, ofwel 7%. De minister roept de sociale partners op om de lonen te matigen, maar geeft zichzelf op de begroting een verhoging van twee keer de inflatie. Ook tovert het kabinet een"
"nl.proc.ob.d.h-tk-20062007-5340-5370.1.19.1","nl.proc","speech",0.03245002,"2007-09-12","Teeven","VVD","De heer","mp",14,"commons",". Dat is bijzonder raar, want ik had de hoop dat dit kabinet niet ging <em>potverteren</em> en evenmin de CDA-fractie. Toch lijkt het er wel een beetje op. Geld is een schaars middel en waar je het kunt halen, moet je dat proberen, ook al is het niet heel veel. Bovendien kan dit een preventieve werking hebben. Daarom dien ik namens de liberale collega"
"nl.proc.ob.d.h-tk-20152016-8-7.1.7.1","nl.proc","speech",0.03245002,"2015-09-30","Grashoff","GroenLinks","De heer","mp",5,"commons","Voorzitter. Ik was die Miljoenennota aan het lezen en ineens dacht ik: stel nu eens dat de VVD in de oppositie zat en die zou lezen wat hier staat. Ze zouden links — ze bedoelen dan de Partij van de Arbeid — het klassieke verwijt maken van <em>potverteren</em>. Je hebt een beetje budgetruimte en voor je het weet, geef je het al weg in plaats van het te"
"nl.proc.ob.d.h-tk-20082009-483-512.1.6.8","nl.proc","speech",0.029370403,"2008-10-01","Weekers","VVD","De heer","mp",1,"commons","Ik ben het eens met de algemene kritiek van de heer Van Dijck dat dit kabinet een veel te rooskleurig beeld schetst. Hij verwijt het kabinet echter <em>potverteren</em>, terwijl hij in zijn tegenbegroting de staatsschuld verder laat oplopen en aardgasbaten inzet voor lastenverlichting. Is dat dan niet <em>potverteren</em>?"
"nl.proc.ob.d.h-tk-20112012-92-11.1.12.2","nl.proc","speech",0.025960017,"2012-06-06","Klaver","GroenLinks","De heer","mp",1,"commons","Ik heb vanavond met interesse de NRC gelezen. Volgens mij is de conclusie daarin dat zowel het CDA, als de VVD als de PvdA heel goed weten hoe je moet <em>potverteren</em>."
"nl.proc.ob.d.h-tk-20082009-5416-5496.1.10.1","nl.proc","speech",0.025960015,"2009-03-26","Verdonk","Verdonk","Mevrouw","mp",8,"commons"," verspild waren, was er nu geen reden tot saneren geweest. Maar goed, het <em>potverteren</em> tot op heden heeft ons in deze situatie gebracht. Is dit plannetje van het kabinet nu een serieus saneringsplan? Nee, helemaal niet. Ambtenaren leveren in, huizenbezitters gaan meer betalen, AOW'ers leveren in. Maar overduidelijk is dat zelfs nu de overheid niet"
"nl.proc.ob.d.h-tk-20102011-35-2.1.11.11","nl.proc","speech",0.025960015,"2010-12-15","Sap","GroenLinks","Mevrouw","mp",7,"commons"," onder begrotingsregel 36 duiden over de omgang met hogere belastinguitgaven dan verwacht? Als dit kabinet en deze minister zich zo uitdrukkelijk niet als potverteerder ten toon willen stellen, waarom gaan zij dan wel <em>potverteren</em> met de hypotheekrenteaftrek en met de belastinguitgaven? Ik kan het niet laten om ook een klein stukje visie te geven over"
"nl.proc.ob.d.h-tk-20112012-88-15.1.7.12","nl.proc","speech",0.025960015,"2012-05-29","Van Haersma Buma","CDA","De heer","mp",6,"commons"," gratis onderwijs. Wie dat moet betalen, dat zien we nog wel! Over een maand hebben we het EK voetbal. Wie weet, misschien krijgen we wel gratis bier van de PvdA! Het is niks anders dan het oude <em>potverteren</em>. Joop den Uijl was de meester, Diederik Samsom is een goede leerling. De uitweg uit de crisis is echter niet gratis. Ook met verkiezingen, of"
"nl.proc.ob.d.h-tk-20092010-81-6890.1.13.1","nl.proc","speech",0.025960015,"2010-05-07","Thieme","PvdD","Mevrouw","mp",12,"commons"," slecht gedrag van banken die gewoon doorgingen met <em>potverteren</em> en bonusprogramma's. Business as usual. De Nederlandse burger is bij de introductie van de euro in slaap gesust met valse beloftes over stabiliteitssystemen. Het Stabiliteits- en Groeipact beloofde 3%, want anders zwaaide er wat. Harde maatregelen die boterzacht bleken. Griekenland is"
"nl.proc.ob.d.h-tk-20052006-2735-2752.1.5.1","nl.proc","speech",0.022715013,"2006-01-25","Crone","PvdA","De heer","mp",9,"commons"," gaan natuurlijk niet <em>potverteren</em>. De andere helft zou moeten worden teruggegeven aan de burgers in de vorm van lastenverlichting. Ik denk ook aan een impuls voor onderwijs (beroepsonderwijs, stages en jeugdwerkloosheid) en een impuls voor de verpleging en de zorg. Ik pik er maar drie uit waarvan iedereen snapt dat zij een grote urgentie hebben. Er"
"nl.proc.ob.d.h-tk-20132014-14-10.1.10.7","nl.proc","speech",0.022715013,"2013-10-16","Van Hijum","CDA","De heer","mp",10,"commons"," voor 2014 mag ingevuld worden met secundaire voorwaarden, de zogenaamde loonsombenadering. Dat is op zich prima, maar dat de gereserveerde middelen voor 2015 ook bij de onderhandelingen mogen worden betrokken, is domweg <em>potverteren</em> op rekening van de toekomst. Dat geldt ook voor het inzetten van meevallers voor de kinderopvang. De garanties en"
"nl.proc.ob.d.h-tk-20152016-2-7.1.9.8","nl.proc","speech",0.022715013,"2015-09-16","Van der Staaij","SGP","De heer","mp",9,"commons"," <em>potverteren</em>. Straks moeten we in magere jaren weer fors bezuinigen. Het is beter om nu voorzichtiger te zijn!  Compromissen tussen de PvdA en de VVD hoeven niet altijd slecht te zijn. Soms is het zelfs verstandig om het goede van links en rechts te combineren. Dan is iedereen tevreden, zoals strijkers, blazers en slagwerkers in een orkest een"
"nl.proc.ob.d.h-tk-20102011-41-2.1.11.47","nl.proc","speech",0.020768013,"2011-01-19","Dijkgraaf","SGP","De heer","mp",1,"commons","Is de CDA-fractie het met mij eens dat als je het over de definitie van \"<em>potverteren</em>\" hebt, dat met name gaat om het eindbeeld dat dit kabinet moet opleveren? Dat val ik niet aan, maar dat laat wel onverlet dat je op basis van gezond verstand kunt kijken op welke wijze je bezuinigingen en intensiveringen in de tijd inpast."
"nl.proc.ob.d.h-tk-20112012-92-11.1.12.1","nl.proc","speech",0.020768013,"2012-06-06","Hamer","PvdA","Mevrouw","mp",1,"commons","Voorzitter. Uiteraard dank ik de minister voor zijn beantwoording. Ik wil hem van harte aanbevelen om vanavond de NRC te lezen, waarin staat dat het CDA en de VVD de grootste potverteerders in de geschiedenis zijn en niet de Partij van de Arbeid. De minister kan de grijsgedraaide plaat over het <em>potverteren</em> van de Partij van de Arbeid verder thuislaten."
"nl.proc.ob.d.h-tk-20082009-483-512.1.6.10","nl.proc","speech",0.020768013,"2008-10-01","Weekers","VVD","De heer","mp",1,"commons","Aardgasbaten vormen kapitaal dat nu onder de grond zit. Idealiter stop je dat in kapitaal boven de grond, het blijft in elk geval op de balans staan, linksom of rechtsom, of je verlicht de schuld ermee. Maar als je het vervolgens inzet voor belastingverlaging, is dat toch <em>potverteren</em>? Dat kun je toch niet anders noemen?"
"nl.proc.ob.d.h-tk-20082009-483-512.1.6.15","nl.proc","speech",0.020768013,"2008-10-01","Weekers","VVD","De heer","mp",1,"commons","De enige opmerking die ik aan de heer Van Dijck zou willen meegeven is: lees uw eigen tegenbegroting en het rapport van het Centraal Planbureau er nog maar eens op na. U stookt wel degelijk de aardgasbel op. Dat heet <em>potverteren</em>."
"nl.proc.ob.d.h-tk-20152016-3-6.1.4.143","nl.proc","speech",0.020768013,"2015-09-17","Krol","50PLUS","De heer","mp",1,"commons","Op heel kleine schaal heb ik daar in het verleden mee te maken gehad. Vandaar dat ik een waarschuwing aan de minister-president wil geven. Door de voorstellen die er nu liggen, worden de pensioenen in de toekomst uitgehold. Dat moet je niet doen. Ik weet nog heel goed ze dat vroeger bij de VVD noemden: <em>potverteren</em>."
"nl.proc.ob.d.h-tk-20062007-2634-2731.1.14.10","nl.proc","speech",0.018356502,"2007-03-01","Rutte","VVD","De heer","mp",1,"commons","Het zou toch wel ernstig zijn als met de huidige economische groei in Nederland de staatsschuldquote zou stijgen. Dat zou helemaal dramatisch zijn. Ik noemde het inderdaad <em>potverteren</em> en ik herhaal dat hier, omdat deze minister-president jarenlang leiding heeft gegeven aan een kabinet dat uitging van een voorzichtige raming van de staatsfinanciën"
"nl.proc.ob.d.h-tk-20082009-88-114.1.8.8","nl.proc","speech",0.01817201,"2008-09-18","Rutte","VVD","De heer","mp",1,"commons","U zit op een gasbel, die u aan het <em>potverteren</em> bent. U geeft alle meevallers uit. U trekt lastenverlichting van de toekomst naar voren. U verspilt alle speelruimte voor de komende jaren om nog effectief te reageren op de internationale crisis. Leest u de kranten van vanmorgen, mijnheer Balkenende, dan ziet u wat er internationaal gebeurt. Uw kabinet hoort daarop in te spelen en doet dat niet."
"nl.proc.ob.d.h-tk-20062007-439-469.1.9.5","nl.proc","speech",0.01817201,"2006-10-04","Blok","VVD","De heer","mp",1,"commons","Gelukkig is er niet potverteerd met de gasbaten. Ik had nog veel meer kunnen citeren van de afgelopen jaren, waaronder regelmatige voorstellen van u om meevallende gasbaten wel degelijk te <em>potverteren</em>. Ik heb mij er altijd sterk voor gemaakt om die meevallende gasbaten in te zetten voor datgene waarvoor zij zijn bestemd: investeringen in infrastructuur en kennis. Dat is iets anders dan uw voorstellen van de afgelopen jaren."
"nl.proc.ob.d.h-tk-20082009-5-29.1.7.25","nl.proc","speech",0.01817201,"2008-09-17","Rutte","VVD","De heer","mp",1,"commons","De kern van de kwestie is dat wat de heer Van Geel en zijn fractie staande houden ertoe leidt dat de inflatie over dit en vorig jaar opgeteld 13% wordt. Het is een feit dat dit kabinet vanwege beleidskeuzen, omdat men denkt het geld beter te kunnen uitgeven dan de burger, de staat gigantisch laat groeien. Het gaat echter niet om investeren. Het is allemaal consumptief. Het is allemaal <em>potverteren</em>. Laat de heer Van Geel dat toch erkennen!"
"nl.proc.ob.d.h-tk-20122013-57-19.1.15.25","nl.proc","speech",0.01817201,"2013-03-05","Ulenbelt","SP","De heer","mp",1,"commons","Weet de staatssecretaris wel wat zij zegt tegen sociale partners? De FNV vraagt uiterst nadrukkelijk om af te zien van het Witteveenkader, omdat het de jongeren benadeelt. De staatssecretaris spreekt over <em>potverteren</em>, maar zij benadeelt de jongeren. Dat wil de FNV niet, dat wil de SP niet en dat willen nog een paar partijen hier niet. Als de staatssecretaris open en reële onderhandelingen wil voeren met sociale partners, kan zij toch niet vasthouden aan het Witteveenkader en aan de korting van de opbouw?"
"nl.proc.ob.d.h-tk-20082009-583-614.1.11.15","nl.proc","speech",0.01557601,"2008-10-02","Weekers","VVD","De heer","mp",1,"commons","Het verbaast mij dat de heer Van Dijck met deze motie komt. Hij had gisteren veel kritiek op de begroting van dit kabinet. De begroting zou volgens hem niet degelijk zijn. Die kritiek heeft de VVD-fractie ook. Maar als de heer Van Dijck vervolgens met dit soort moties komt, zeg ik: de pot verwijt de ketel dat hij zwart ziet. Want als er een partij is die nog meer wil <em>potverteren</em> dan het kabinet nu al doet, dan is het wel de Partij voor de Vrijheid."
"nl.proc.ob.d.h-tk-20082009-4535-4584.1.5.15","nl.proc","speech",0.01557601,"2009-02-18","Rutte","VVD","De heer","mp",1,"commons","Sinds gisteren leidt de heer Van Geel de fractie van het <em>potverteren</em>. Mijnheer Van Geel, u hebt gisteren de financiële degelijkheid losgelaten. Ik voorspel u dat dit kabinet niet komt met structurele hervormingen. Als u denkt van wel, daag ik u uit om nu te zeggen met welke structurele hervorming het kabinet naar uw overtuiging komt. Ik voorspel u"
"nl.proc.ob.d.h-tk-20052006-5945-5975.1.15.12","nl.proc","speech",0.01557601,"2006-06-28","Crone","PvdA","De heer","mp",1,"commons","Dit kabinet zegt dat het al het geld nodig heeft voor de vergrijzing en dat het dus niet gaat <em>potverteren</em>. Toch gaat het nu het tekort met 1 mld. verhogen, wat door rente op rente invloed zal hebben op de financiering van de vergrijzing. Hoe kan ik dit rijmen met een consistent kabinetsbeleid? Dit kabinet zou geen uitgavenmeevallers meer uitgeven"
"nl.proc.ob.d.h-tk-20062007-2634-2731.1.14.12","nl.proc","speech",0.01557601,"2007-03-01","Rutte","VVD","De heer","mp",1,"commons"," u dat u die remmen niet zal weten te vinden, aangezien het tot grote politieke spanningen in deze coalitie zal leiden. Dan zal u er met elkaar voor kiezen om de staatsschuld maar te laten oplopen. Dit is onverstandig en inderdaad <em>potverteren</em>."
"nl.proc.ob.d.h-tk-20102011-41-2.1.11.11","nl.proc","speech",0.0129800085,"2011-01-19","De Rouwe","CDA","De heer","mp",1,"commons"," hebben wij op de begroting staan. Voordat je echter in dit land een euro uitgeeft, moet je die eerst verdienen. Daarom ontken ik niet dat de komende twee jaren moeilijk zullen zijn. Wij vinden echter dat je pas euro's kunt uitgeven als je ze hebt verdiend. Die visie verschilt fundamenteel van die van de fractie van GroenLinks. Daar is men aan het <em>potverteren</em> en wil men meer geld uitgeven dan er is. Daar schuift men uiteindelijk schulden door naar de eigen generatie. Dat vinden wij pas echt asociaal."
"nl.proc.ob.d.h-tk-20072008-6160-6225.1.12.26","nl.proc","speech",0.0129800085,"2008-05-22","Rutte","VVD","De heer","mp",1,"commons"," uit te geven, omdat hij de burgers niet vertrouwt met hun eigen portemonnee. Hij denkt dat hij dat beter kan. Dat is de reden waarom hij dat doet. Dit is echt een kabinet van <em>potverteren</em> en onderwijl heeft hij het strenge begrotingsbeleid van de vorige minister van Financiën losgelaten. Dat heeft hij gedaan om puur politieke, opportunistische redenen. Geeft u dat gewoon toe, mijnheer Bos."
"nl.proc.ob.d.h-tk-20062007-4914-4949.1.7.13","nl.proc","speech",0.0129800085,"2007-07-03","Weekers","VVD","De heer","mp",1,"commons","Ik verwijt de PvdA absoluut niet dat zij gaat <em>potverteren</em>, nu zij voor het eerst sinds jaren weer in de coalitie zit. Ik verwijt u ook niet dat u niet ingrijpt in de uitgaven in de zorg, die hier en daar uit de hand lopen. Sterker nog, u heeft aangekondigd dat een aantal pakketverruimende maatregelen wordt genomen. Bijvoorbeeld de pil komt opnieuw"
"nl.proc.ob.d.h-tk-20082009-5387-5414.1.6.119","nl.proc","speech",0.0129800085,"2009-03-26","Halsema","GroenLinks","Mevrouw","mp",1,"commons","De heer Rutte maakt zich ongelooflijk grote zorgen over de grote investeringen die het kabinet gaat doen. Hij ziet dit als <em>potverteren</em>. In welke mate is hiervan eigenlijk sprake? Het afgelopen etmaal is gespind dat het kabinet 17 mld. gaat investeren, 6 mld. door nieuwe investeringen te doen en 10 mld. door de WW-uitgaven buiten het uitgavenkader"
"nl.proc.ob.d.h-tk-20152016-2-4.1.5.48","nl.proc","speech",0.0129800085,"2015-09-16","Klaver","GroenLinks","De heer","mp",1,"commons"," met het belastingstelsel willen. Anders is het eigenlijk <em>potverteren</em>, verkwisting. De heer Zijlstra antwoordde toen: ja, dat klopt; we moeten pas beginnen als we dat eindbeeld in zicht hebben. Wat is er precies veranderd sinds vorig jaar? Waarom is het niet meer belangrijk om het doel van een bredere stelselherziening na te streven? Waarom gaat de VVD dit geld nu uitgeven?"
"nl.proc.ob.d.h-tk-20062007-3771-3812.1.6.14","nl.proc","speech",0.010384006,"2007-05-22","Pechtold","D66","De heer","mp",1,"commons"," andere kant uitgaan? Is het CDA dan bereid om met D66 de hervormingsagenda bij economische tegenslag weer op te pakken en daarmee door te gaan? Wij hebben daar de afgelopen jaren zo hard voor geknokt. Of blijft het dan toch weer bij uitverdelen en <em>potverteren</em>, wat u een investeringsagenda noemt?"
"nl.proc.ob.d.h-tk-20072008-6160-6225.1.12.12","nl.proc","speech",0.010384006,"2008-05-22","Rutte","VVD","De heer","mp",1,"commons","Nou mijnheer Bos, wat u doet is op een grote schaal, in totaal 10 mld., <em>potverteren</em>. Uw uitgaven zijn voor het grootste deel puur consumptief en hebben niets te maken met investeren in de samenleving. Moet u nou toch eens kijken wat u allemaal gaat doen met die gratis schoolboeken, met die verdere verhoging van de uitgaven voor"
"nl.proc.ob.d.h-tk-20082009-483-512.1.6.13","nl.proc","speech",0.010384006,"2008-10-01","Tony van Dijck","PVV","De heer","mp",1,"commons"," overheidsuitgaven gaan bij ons middels ombuigingen ook met 4 mld. omlaag. Wij geven die 4 mld. middels een belastingverlaging terug aan de burgers. Met andere woorden, wij gaan niet door met <em>potverteren</em>. De overheid doet dat wel met onzinnige uitgaven. Als het gaat om die 4 mld. vinden wij dat onzinnige uitgaven. Wij geven dat geld via een belastingverlaging"
